step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,best_cost,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_cost_offset,best_cost_speed,best_cost_curvature,best_cost_collision,best_l_target,best_v_target,best_collision,debug_proj_seg_idx,debug_ego_s0,debug_ego_l0,debug_proj_heading_err,debug_best_cost,debug_num_candidates,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.6448745727539,24.47096061706543,0.0027785238189555065,0.0,1.1734879734603965e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084203011,77,0.18118980320876468,-0.03344356772952974,True,,1.3042101505627807e-06,5.216840639936729e-06,0.5000026084203011,0.0,0.5,2.6084203011255613e-06,0.0,-0.03344356772952974,4.0,False,0,0.18118980320876468,-0.03344356772952974,-4.001884460996634e-07,0.5000026084203011,77,0.1,50,-64.64487457564334,24.4709606170574,0.002779010405095715,4.0,-45.04495023468491,24.525419822889678,0.0027780567345126097,4.0,0,[]
1,0.05,-64.6448745727539,24.47096061706543,0.0027785238189555065,0.0021257920003147157,1.1732697657862445e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084203011,77,0.18118980320876468,-0.03344356772952974,True,,1.3042101505627807e-06,5.216840639936729e-06,0.5000026084203011,0.0,0.5,2.6084203011255613e-06,0.0,-0.03344356772952974,4.0,False,0,0.18118980320876468,-0.03344356772952974,-4.001884460996634e-07,0.5000026084203011,77,0.1,50,-64.64487457564334,24.4709606170574,0.002779010405095715,4.0,-45.04495023468491,24.525419822889678,0.0027780567345126097,4.0,0,[]
2,0.1,-64.6448745727539,24.470958709716797,0.0027785235588811815,0.00020804232094784398,1.17921409525934e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084204038,77,0.18118979790822978,-0.03344547507079811,True,,1.3042102018795194e-06,5.216840845206558e-06,0.5000026084204038,0.0,0.5,2.608420403759039e-06,0.0,-0.03344547507079811,4.0,False,0,0.18118979790822978,-0.03344547507079811,-4.0044852295207864e-07,0.5000026084204038,77,0.1,50,-64.64487457564351,24.470958709708768,0.0027790104050894,4.0,-45.04495023468512,24.525417915541045,0.0027780567345012603,4.0,0,[]
3,0.15000000000000002,-64.6448745727539,24.470958709716797,0.0027785235588811815,0.0010984717351712873,1.1791222220836062e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084204038,77,0.18118979790822978,-0.03344547507079811,True,,1.3042102018795194e-06,5.216840845206558e-06,0.5000026084204038,0.0,0.5,2.608420403759039e-06,0.0,-0.03344547507079811,4.0,False,0,0.18118979790822978,-0.03344547507079811,-4.0044852295207864e-07,0.5000026084204038,77,0.1,50,-64.64487457564351,24.470958709708768,0.0027790104050894,4.0,-45.04495023468512,24.525417915541045,0.0027780567345012603,4.0,0,[]
4,0.2,-64.6448745727539,24.470958709716797,0.0027785235588811815,0.0012992483077838492,1.1791015452899956e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084204038,77,0.18118979790822978,-0.03344547507079811,True,,1.3042102018795194e-06,5.216840845206558e-06,0.5000026084204038,0.0,0.5,2.608420403759039e-06,0.0,-0.03344547507079811,4.0,False,0,0.18118979790822978,-0.03344547507079811,-4.0044852295207864e-07,0.5000026084204038,77,0.1,50,-64.64487457564351,24.470958709708768,0.0027790104050894,4.0,-45.04495023468512,24.525417915541045,0.0027780567345012603,4.0,0,[]
5,0.25,-64.6448745727539,24.470956802368164,0.0027785235588811815,0.0011988738599412367,1.1791119192139377e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084205501,77,0.1811897926076949,-0.0334473824120665,True,,1.3042102750310377e-06,5.216841137815377e-06,0.5000026084205501,0.0,0.5,2.6084205500620753e-06,0.0,-0.0334473824120665,4.0,False,0,0.1811897926076949,-0.0334473824120665,-4.0044852547957074e-07,0.5000026084205501,77,0.1,50,-64.64487457564368,24.470956802360135,0.0027790104050917698,4.0,-45.04495023468532,24.52541600819242,0.002778056734516507,4.0,0,[]
6,0.30000000000000004,-64.6448745727539,24.470956802368164,0.0027785235588811815,0.0009929278273319174,1.1791331644417369e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084205501,77,0.1811897926076949,-0.0334473824120665,True,,1.3042102750310377e-06,5.216841137815377e-06,0.5000026084205501,0.0,0.5,2.6084205500620753e-06,0.0,-0.0334473824120665,4.0,False,0,0.1811897926076949,-0.0334473824120665,-4.0044852547957074e-07,0.5000026084205501,77,0.1,50,-64.64487457564368,24.470956802360135,0.0027790104050917698,4.0,-45.04495023468532,24.52541600819242,0.002778056734516507,4.0,0,[]
7,0.35000000000000003,-64.6448745727539,24.470956802368164,0.0027785235588811815,0.0007739640971497052,1.179155759700734e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084205501,77,0.1811897926076949,-0.0334473824120665,True,,1.3042102750310377e-06,5.216841137815377e-06,0.5000026084205501,0.0,0.5,2.6084205500620753e-06,0.0,-0.0334473824120665,4.0,False,0,0.1811897926076949,-0.0334473824120665,-4.0044852547957074e-07,0.5000026084205501,77,0.1,50,-64.64487457564368,24.470956802360135,0.0027790104050917698,4.0,-45.04495023468532,24.52541600819242,0.002778056734516507,4.0,0,[]
8,0.4,-64.6448745727539,24.470956802368164,0.0027785235588811815,0.0005794526243406516,1.1791757970058825e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084205501,77,0.1811897926076949,-0.0334473824120665,True,,1.3042102750310377e-06,5.216841137815377e-06,0.5000026084205501,0.0,0.5,2.6084205500620753e-06,0.0,-0.0334473824120665,4.0,False,0,0.1811897926076949,-0.0334473824120665,-4.0044852547957074e-07,0.5000026084205501,77,0.1,50,-64.64487457564368,24.470956802360135,0.0027790104050917698,4.0,-45.04495023468532,24.52541600819242,0.002778056734516507,4.0,0,[]
9,0.45,-64.6448745727539,24.470956802368164,0.0027785235588811815,0.0001908302946427194,1.1792158716161794e-07,0.6000000238418579,0.0,PlanStatus.OK,0.5000026084205501,77,0.1811897926076949,-0.0334473824120665,True,,1.3042102750310377e-06,5.216841137815377e-06,0.5000026084205501,0.0,0.5,2.6084205500620753e-06,0.0,-0.0334473824120665,4.0,False,0,0.1811897926076949,-0.0334473824120665,-4.0044852547957074e-07,0.5000026084205501,77,0.1,50,-64.64487457564368,24.470956802360135,0.0027790104050917698,4.0,-45.04495023468532,24.52541600819242,0.002778056734516507,4.0,0,[]
