step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.64484405517578,24.470746994018555,0.0027786967683817664,0.0,-1.7345173209263112e-06,-6.400338768836056e-07,6,-62.244853343878184,24.477416056052768,0.002778056734504883,5.0,5.0,-4.455082034837687e-06,0.6000000238418579,0.0,0,0,0,,,
1,0.05,-64.64484405517578,24.470746994018555,0.0027786967683817664,0.0025497631789447557,-1.7345173209263112e-06,-6.400338768836056e-07,6,-62.244853343878184,24.477416056052768,0.002778056734504883,5.0,4.997450236821055,-4.446415914571844e-06,0.6000000238418579,0.0,0,0,0,8.666120265843347e-09,0.0,0.0
2,0.1,-64.64484405517578,24.47074317932129,0.0027786967683817664,0.00032085005747148045,-1.7345173401921501e-06,-6.400338819169057e-07,6,-62.24485334388077,24.477412241355502,0.0027780567344998495,5.0,4.999679149942528,-4.453988822206156e-06,0.6000000238418579,0.0,0,0,0,-7.572907634312287e-09,0.0,0.0
3,0.15000000000000002,-64.64484405517578,24.47074317932129,0.0027786967683817664,0.0006032582928488263,-1.7345173401921501e-06,-6.400338819169057e-07,6,-62.24485334388077,24.477412241355502,0.0027780567344998495,5.0,4.999396741707151,-4.453027486306382e-06,0.6000000238418579,0.0,0,0,0,9.613358997739851e-10,0.0,0.0
4,0.2,-64.64484405517578,24.47074317932129,0.0027786967683817664,0.0008856019107845869,-1.7345173401921501e-06,-6.400338819169057e-07,6,-62.24485334388077,24.477412241355502,0.0027780567344998495,5.0,4.999114398089215,-4.45206705990131e-06,0.6000000238418579,0.0,0,0,0,9.604264050722122e-10,0.0,0.0
5,0.25,-64.64484405517578,24.470741271972656,0.0027786967683817664,0.0008731370155132654,-1.7345173355933982e-06,-6.400338755517716e-07,6,-62.244853343882056,24.477410334006876,0.0027780567345062146,5.0,4.999126862984487,-4.4521093514049426e-06,0.6000000238418579,0.0,0,0,0,-4.229150363244116e-11,0.0,0.0
6,0.30000000000000004,-64.64484405517578,24.470741271972656,0.0027786967683817664,0.0007467177858783516,-1.7345173355933982e-06,-6.400338755517716e-07,6,-62.244853343882056,24.477410334006876,0.0027780567345062146,5.0,4.999253282214122,-4.452539542398881e-06,0.6000000238418579,0.0,0,0,0,-4.3019099393859506e-10,0.0,0.0
7,0.35000000000000003,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.0005941202609155913,-1.734524608325294e-06,-6.400338755517716e-07,6,-62.244860973276715,24.47741033401415,0.0027780567345062146,5.0,4.999405879739085,-4.453072961041471e-06,0.6000000238418579,0.0,0,0,0,-5.334186425898224e-10,0.0,0.0
8,0.4,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.00045084014398014187,-1.734524608325294e-06,-6.400338755517716e-07,6,-62.244860973276715,24.47741033401415,0.0027780567345062146,5.0,4.99954915985602,-4.453560904948972e-06,0.6000000238418579,0.0,0,0,0,-4.87943907501176e-10,0.0,0.0
9,0.45,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.00015154851507327816,-1.734524608325294e-06,-6.400338755517716e-07,6,-62.244860973276715,24.47741033401415,0.0027780567345062146,5.0,4.999848451484927,-4.454579993762309e-06,0.6000000238418579,0.0,0,0,0,-1.019088813336566e-09,0.0,0.0
10,0.5,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.00020673763677201865,-1.734524608325294e-06,-6.400338755517716e-07,6,-62.244860973276715,24.47741033401415,0.0027780567345062146,5.0,4.999793262363228,-4.454391728359042e-06,0.6000000238418579,0.0,0,0,0,1.8826540326699615e-10,0.0,0.0
11,0.55,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.00020069132261480544,-1.734524608325294e-06,-6.400338755517716e-07,6,-62.244860973276715,24.47741033401415,0.0027780567345062146,5.0,4.999799308677385,-4.4544126467371825e-06,0.6000000238418579,0.0,0,0,0,-2.091837814077735e-11,0.0,0.0
