step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.6448745727539,24.470972061157227,0.0027785324014082385,0.0,-6.167809318835538e-15,0.0,4,-62.244883837038714,24.47764053034024,0.0027785324014082385,5.0,5.0,-1.2116209152244952e-14,0.6000000238418579,0.0,0,0,0,,,
1,0.05,-64.6448745727539,24.470972061157227,0.0027785324014082385,0.0021488470522680685,-6.167809318835538e-15,0.0,4,-62.244883837038714,24.47764053034024,0.0027785324014082385,5.0,4.997851152947732,-1.2090229804719715e-14,0.6000000238418579,0.0,0,0,0,2.5979347525236646e-17,0.0,0.0
2,0.1,-64.6448745727539,24.47096824645996,0.0027785324014082385,0.00017866290732720754,-6.167809318835538e-15,0.0,4,-62.244883837038714,24.477636715642973,0.0027785324014082385,5.0,4.999821337092673,-1.2114044983064717e-14,0.6000000238418579,0.0,0,0,0,-2.3815178345001908e-17,0.0,0.0
3,0.15000000000000002,-64.6448745727539,24.47096824645996,0.0027785324014082385,0.001074010226481398,-6.167809318835538e-15,0.0,4,-62.244883837038714,24.477636715642973,0.0027785324014082385,5.0,4.998925989773519,-1.2103210584636388e-14,0.6000000238418579,0.0,0,0,0,1.0834398428329756e-17,0.0,0.0
4,0.2,-64.6448745727539,24.47096824645996,0.0027785324014082385,0.0012770945974837134,-6.167809318835538e-15,0.0,4,-62.244883837038714,24.477636715642973,0.0027785324014082385,5.0,4.998722905402516,-1.2100755883155245e-14,0.6000000238418579,0.0,0,0,0,2.4547014811429624e-18,0.0,0.0
5,0.25,-64.6448745727539,24.470966339111328,0.0027785324014082385,0.0011807636770437054,-6.167809318835538e-15,0.0,4,-62.244883837038714,24.47763480829434,0.0027785324014082385,5.0,4.998819236322956,-1.2101919706424772e-14,0.6000000238418579,0.0,0,0,0,-1.1638232695274087e-18,0.0,0.0
6,0.30000000000000004,-64.6448745727539,24.470966339111328,0.0027785324014082385,0.00097973846541402,-6.167809318835538e-15,0.0,4,-62.244883837038714,24.47763480829434,0.0027785324014082385,5.0,4.999020261534586,-1.2104350690983392e-14,0.6000000238418579,0.0,0,0,0,-2.430984558619842e-18,0.0,0.0
7,0.35000000000000003,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.000763092239287134,-6.167809318835538e-15,0.0,4,-62.244891466433245,24.47763480829434,0.0027785324014082385,5.0,4.999236907760713,-1.210697056388925e-14,0.6000000238418579,0.0,0,0,0,-2.619872905857551e-18,0.0,0.0
8,0.4,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.0005728627935397915,-6.167809318835538e-15,0.0,4,-62.244891466433245,24.47763480829434,0.0027785324014082385,5.0,4.99942713720646,-1.2109272799439887e-14,0.6000000238418579,0.0,0,0,0,-2.3022355506371883e-18,0.0,0.0
9,0.45,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.0001883507665545793,-6.167809318835538e-15,0.0,4,-62.244891466433245,24.47763480829434,0.0027785324014082385,5.0,4.999811649233445,-1.2113928092517996e-14,0.6000000238418579,0.0,0,0,0,-4.655293078109635e-18,0.0,0.0
10,0.5,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.00025592813397684963,-6.167809318835538e-15,0.0,4,-62.244891466433245,24.47763480829434,0.0027785324014082385,5.0,4.999744071866023,-1.2113109011658001e-14,0.6000000238418579,0.0,0,0,0,8.190808599949084e-19,0.0,0.0
11,0.55,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.0002477932947926934,-6.167809318835538e-15,0.0,4,-62.244891466433245,24.47763480829434,0.0027785324014082385,5.0,4.999752206705208,-1.211320811451283e-14,0.6000000238418579,0.0,0,0,0,-9.910285482875314e-20,0.0,0.0
12,0.6000000000000001,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.00021068581484353323,-6.167809318835538e-15,0.0,4,-62.244891466433245,24.47763480829434,0.0027785324014082385,5.0,4.999789314185157,-1.2113657041974875e-14,0.6000000238418579,0.0,0,0,0,-4.489274620447792e-19,0.0,0.0
13,0.65,-64.6379165649414,24.47098731994629,0.0027736591287025837,0.418849875786062,2.336672522140759e-15,0.0,4,-62.237925796757445,24.477644093319867,0.0027736591287025837,5.0,4.581150124213938,3.235170979511994e-15,0.6000000238418579,0.0,0,0,0,1.534882802148687e-14,0.0,0.0
14,0.7000000000000001,-64.59215545654297,24.471115112304688,0.002773138199829202,1.1541994012275905,1.6566609195578508e-16,0.0,4,-62.19216468489162,24.47777063545378,0.002773138199829202,5.0,3.8458005987724095,1.510718598583813e-16,0.6000000238418579,0.0,0,0,0,-3.0840991196536127e-15,0.0,0.0
15,0.75,-64.51854705810547,24.47132110595703,0.0027727181797939987,1.66360637499748,-7.164407955784213e-16,0.0,4,-62.11855628365888,24.477975621061915,0.0027727181797939987,5.0,3.33639362500252,-5.283796818928246e-16,0.6000000238418579,0.0,0,0,0,-6.794515417512059e-16,0.0,0.0
16,0.8,-64.4241943359375,24.471586227416992,0.002766292003292557,2.0106254356919915,8.036973864200547e-15,0.0,5,-61.42420581448735,24.47988509284252,0.002766292003292557,5.0,2.9893745643080085,5.244108454909935e-15,0.6000000238418579,0.0,0,0,0,5.77248813680276e-15,0.0,0.0
17,0.8500000000000001,-64.31539916992188,24.47188949584961,0.0027643307828062007,2.280182769722307,7.679620828149325e-15,0.0,5,-61.31541063220159,24.480182477636173,0.0027643307828062007,5.0,2.719817230277693,4.599150040299725e-15,0.6000000238418579,0.0,0,0,0,-6.4495841461021e-16,0.0,0.0
18,0.9,-64.19438171386719,24.47222137451172,0.0027722295001369425,2.510593226082738,1.5334955527634975e-15,0.0,5,-61.19439324174441,24.480538052359485,0.0027722295001369425,5.0,2.489406773917262,8.580999091662106e-16,0.6000000238418579,0.0,0,0,0,-3.7410501311335145e-15,0.0,0.0
