step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_l_target,best_v_target,best_collision,timing_plan_total_ms,debug_num_candidates,debug_ego_s0,debug_ego_l0,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64485931396484,24.470983505249023,0.0027785084745703195,0.0,8.216716764763987e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512554532464,-0.03342072203859796,True,53.13948365096056,2.432208870168686e-06,1.2161044634713576e-05,1.216104435084343e-06,-0.03342072203859796,5.0,False,4.940700018778443,25,0.18120512554532464,-0.03342072203859796,0.1,40,-64.64485931396484,24.470983505249023,0.00277901040509353,5.0,-45.14493460745584,24.52516520972142,0.0027771030639539202,5.0,1,"[{""id"": 218, ""x"": -110.1974105834961, ""y"": -9.842222213745117, ""vx"": 3.4244468594124555e-08, ""vy"": 3.7589836665574694e-07, ""r"": 2.5906050205230713}]"
1,0.05,-64.64485931396484,24.47098159790039,0.0027785084745703195,0.002501134841835687,8.216717333198176e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,53.13711022415121,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,5.063100019469857,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.19744110107422, ""y"": -9.838238716125488, ""vx"": -0.0007627105806022882, ""vy"": 0.23376882076263428, ""r"": 2.5906050205230713}]"
2,0.1,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.000259419352992125,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,53.123629364531666,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,4.822099930606782,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.19754028320312, ""y"": -9.815694808959961, ""vx"": -0.001348437974229455, ""vy"": 0.58787602186203, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.0006614782832788412,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,53.10027108803863,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,5.094800028018653,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.19771575927734, ""y"": -9.776605606079102, ""vx"": -0.00200530793517828, ""vy"": 0.9028351306915283, ""r"": 2.5906050205230713}]"
4,0.2,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.0009331132159675647,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,53.07110932681457,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,5.330399959348142,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.19793701171875, ""y"": -9.727761268615723, ""vx"": -0.0034585683606565, ""vy"": 0.9257214069366455, ""r"": 2.5906050205230713}]"
5,0.25,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.0009113216650786756,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,53.03976765633831,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,4.5897000236436725,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.19855499267578, ""y"": -9.674708366394043, ""vx"": -0.011770791374146938, ""vy"": 1.0479259490966797, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.0007760810977837774,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,53.00746927655608,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,5.081100040115416,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.19906616210938, ""y"": -9.620147705078125, ""vx"": -0.011011744849383831, ""vy"": 1.1218366622924805, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.000615520500724288,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,52.97646561695672,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,4.947999957948923,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.20000457763672, ""y"": -9.567121505737305, ""vx"": -0.009082517586648464, ""vy"": 1.0231560468673706, ""r"": 2.5906050205230713}]"
8,0.4,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.0004674053227880194,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,52.94349591445616,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,6.119699915871024,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.20046997070312, ""y"": -9.51138687133789, ""vx"": 0.0027231338899582624, ""vy"": 1.2003841400146484, ""r"": 2.5906050205230713}]"
9,0.45,-64.64485931396484,24.47098159790039,0.0027785082144959946,0.000154342682379944,8.22097490527085e-07,0.6000000238418579,0.0,PlanStatus.OK,25,0.18120512024478977,-0.03342262937986634,True,52.903798607635,2.432208896056624e-06,1.2161044764171652e-05,1.216104448028312e-06,-0.03342262937986634,5.0,False,4.9233000027015805,25,0.18120512024478977,-0.03342262937986634,0.1,40,-64.64485931396484,24.47098159790039,0.0027790104050863457,5.0,-45.14493460745698,24.525163302372793,0.002777103063957949,5.0,1,"[{""id"": 218, ""x"": -110.19995880126953, ""y"": -9.445639610290527, ""vx"": -0.0003589018597267568, ""vy"": 1.2718851566314697, ""r"": 2.5906050205230713}]"
