step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-41.49156951904297,111.94535064697266,-1.5736095570124018,0.0,1.7399276464047375e-15,8.881784197001252e-16,3,-41.498321262659125,109.5453601440835,-1.573609557012401,8.0,8.0,-1.2135330921029218e-15,0.75,0.0,0,0,0,,,
1,0.05,-41.49156951904297,111.94535064697266,-1.5736095570124018,0.002353935650154818,-3.920475055707584e-16,0.0,3,-41.498321262659125,109.5453601440835,-1.5736095570124018,8.0,7.997646064349845,-5.7613935933805045e-15,0.75,0.0,0,0,0,-4.547860501277583e-15,0.0,0.0
2,0.1,-41.4915771484375,111.94535827636719,-1.5736095570124018,7.719500168915635e-05,-3.920475055707584e-16,0.0,3,-41.49832889205366,109.54536777347803,-1.5736095570124018,8.0,7.99992280499831,-5.770137938011484e-15,0.75,0.0,0,0,0,-8.74434463097977e-18,0.0,0.0
3,0.15000000000000002,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0008325204304148035,-3.920475055707584e-16,0.0,3,-41.49832889205366,109.54536777347803,-1.5736095570124018,8.0,7.999167479569585,-5.767233885551823e-15,0.75,0.0,0,0,0,2.9040524596613687e-18,0.0,0.0
4,0.2,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0010755924433534865,1.7399276464047375e-15,8.881784197001252e-16,3,-41.49832889205366,109.54536777347803,-1.573609557012401,8.0,7.998924407556647,-1.211621656378324e-15,0.75,0.0,0,0,0,4.555612229173499e-15,0.0,0.0
5,0.25,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0010226062136663057,1.7399276464047375e-15,8.881784197001252e-16,3,-41.49832889205366,109.54536777347803,-1.573609557012401,8.0,7.998977393786333,-1.2117157829145877e-15,0.75,0.0,0,0,0,-9.412653626363413e-20,0.0,0.0
6,0.30000000000000004,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0008608152375299806,1.7399276464047375e-15,8.881784197001252e-16,3,-41.49832889205366,109.54536777347803,-1.573609557012401,8.0,7.99913918476247,-1.2120031388419437e-15,0.75,0.0,0,0,0,-2.873559273560214e-19,0.0,0.0
7,0.35000000000000003,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0006768227979220874,1.7399276464047375e-15,8.881784197001252e-16,3,-41.49832889205366,109.54536777347803,-1.573609557012401,8.0,7.999323177202078,-1.2123299876804655e-15,0.75,0.0,0,0,0,-3.2684883852175314e-19,0.0,0.0
8,0.4,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0005113507351111163,1.7399276464047375e-15,8.881784197001252e-16,3,-41.49832889205366,109.54536777347803,-1.573609557012401,8.0,7.9994886492648885,-1.2126240139922811e-15,0.75,0.0,0,0,0,-2.94026311815649e-19,0.0,0.0
9,0.45,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.00016936310361128327,1.7399276464047375e-15,8.881784197001252e-16,3,-41.49832889205366,109.54536777347803,-1.573609557012401,8.0,7.999830636896388,-1.2132318660110545e-15,0.75,0.0,0,0,0,-6.078520187733673e-19,0.0,0.0
