idx,x,y,yaw,v
0,-41.66623306274414,-2.9080233573913574,-1.578461233834436,8.0
1,-41.68166737729172,-3.707784428056848,-1.6155911150467093,8.0
2,-41.74153887302265,-4.505286514191435,-1.6806691341794284,8.0
3,-41.855980059008054,-5.296888864741973,-1.7432352744154154,8.0
4,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
5,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
6,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
7,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
8,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
9,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
10,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
11,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
12,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
13,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
14,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
15,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
16,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
17,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
18,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
19,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
20,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
21,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
22,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
23,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
24,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
25,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
26,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
27,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
28,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
29,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
30,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
31,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
32,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
33,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
34,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
35,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
36,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
37,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
38,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
39,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
40,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
41,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
42,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
43,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
44,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
45,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
46,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
47,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
48,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
49,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
50,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
51,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
52,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
53,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
54,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
55,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
56,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
57,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
58,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
59,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
60,-41.968673671417896,-5.883198770347357,-1.7657448484320752,8.0
