step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,best_cost,timing_plan_total_ms,debug_reason,debug_expansions,debug_best_cost,debug_ms,debug_target_offset_m,debug_corridor_soft_half_width_m,debug_corridor_hard_half_width_m,debug_lane_selector_reason,debug_lane_selector_switched,debug_tracked_lead_id,debug_keep_cost,debug_pass_cost,debug_path_len_raw,debug_path_len_smoothed,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,min_obstacle_distance_m,num_obstacles,obstacles,event_collision,event_collision_count,event_lane_invasion,event_lane_invasion_count
0,0.0,-41.49156951904297,111.94535064697266,-1.5736095570124018,0.0,-1.2135330921029218e-15,0.75,0.0,PlanStatus.OK,45.320205166890034,126.83361399831483,best_effort,26,45.320205166890034,80.13200759887695,0.0,1.6,2.2,stay_keep_lane,False,50,1.8181420206112924,5.249822456191017,31,31,0.1,61,-41.49156951904297,111.94535064697266,-1.573609557012401,8.0,-41.53376791664394,96.94541000391527,-1.573609557012401,8.0,17.409634055251512,1,"[{""id"": 50, ""x"": -41.547733306884766, ""y"": 91.9451904296875, ""vx"": 9.788641364139039e-08, ""vy"": 2.923708830593341e-09, ""r"": 2.5906050205230713}]",False,0,False,0
1,0.05,-41.49156951904297,111.94535064697266,-1.5736095570124018,0.002353935650154818,-5.7613935933805045e-15,0.75,0.0,PlanStatus.OK,46.980436204508436,128.16878099692985,best_effort,25,46.980436204508436,81.76016807556152,0.0,1.6,2.2,stay_keep_lane,False,50,1.7753964119735615,5.249822456191017,31,31,0.1,61,-41.49156951904297,111.94535064697266,-1.5736095570124018,8.0,-42.2676527136793,97.0840428811009,-2.176062011818967,8.0,17.456654224709524,1,"[{""id"": 50, ""x"": -41.547874450683594, ""y"": 91.8981704711914, ""vx"": -0.0027525420300662518, ""vy"": -0.9782339334487915, ""r"": 2.5906050205230713}]",False,0,False,0
2,0.1,-41.4915771484375,111.94535827636719,-1.5736095570124018,7.719500168915635e-05,-5.770137938011484e-15,0.75,0.0,PlanStatus.OK,46.96655667996082,128.3195509968209,best_effort,25,46.96655667996082,82.8704833984375,0.0,1.6,2.2,stay_keep_lane,False,50,1.7320866386496696,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.5736095570124018,8.0,-42.26766034307383,97.08405051049543,-2.176062011818967,8.0,17.504307599276537,1,"[{""id"": 50, ""x"": -41.548011779785156, ""y"": 91.85052490234375, ""vx"": -0.0027228998951613903, ""vy"": -0.9677296280860901, ""r"": 2.5906050205230713}]",False,0,False,0
3,0.15000000000000002,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0008325204304148035,-5.767233885551823e-15,0.75,0.0,PlanStatus.OK,46.95297969999919,128.87343000329565,best_effort,25,46.95297969999919,82.8559398651123,0.0,1.6,2.2,stay_keep_lane,False,50,1.6868718902798434,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.5736095570124018,8.0,-42.26766034307383,97.08405051049543,-2.176062011818967,8.0,17.554043822476917,1,"[{""id"": 50, ""x"": -41.548152923583984, ""y"": 91.80078887939453, ""vx"": -0.0026486702263355255, ""vy"": -0.9412906169891357, ""r"": 2.5906050205230713}]",False,0,False,0
4,0.2,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0010755924433534865,-1.211621656378324e-15,0.75,0.0,PlanStatus.OK,46.939248889106665,127.63649500266183,best_effort,25,46.939248889106665,82.47256278991699,0.0,1.6,2.2,stay_keep_lane,False,50,1.6376066137556349,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.573609557012401,8.0,-42.26766034307383,97.08405051049543,-2.0265377263389546,8.0,17.608235626652302,1,"[{""id"": 50, ""x"": -41.54830551147461, ""y"": 91.74659729003906, ""vx"": -0.003451819298788905, ""vy"": -1.223979115486145, ""r"": 2.5906050205230713}]",False,0,False,0
5,0.25,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0010226062136663057,-1.2117157829145877e-15,0.75,0.0,PlanStatus.OK,46.92945014400988,126.16526099736802,best_effort,24,46.92945014400988,80.56950569152832,0.0,1.6,2.2,stay_keep_lane,False,50,1.599868700975781,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.573609557012401,8.0,-42.26766034307383,97.08405051049543,-2.0265377263389546,8.0,17.649747330702773,1,"[{""id"": 50, ""x"": -41.548423767089844, ""y"": 91.70508575439453, ""vx"": -0.0024404372088611126, ""vy"": -0.8676630258560181, ""r"": 2.5906050205230713}]",False,0,False,0
6,0.30000000000000004,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0008608152375299806,-1.2120031388419437e-15,0.75,0.0,PlanStatus.OK,46.919027763054864,128.0111259984551,best_effort,25,46.919027763054864,82.97038078308105,0.0,1.6,2.2,stay_keep_lane,False,50,1.556963588777484,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.573609557012401,8.0,-42.26766034307383,97.08405051049543,-2.0265377263389546,8.0,17.696942954116963,1,"[{""id"": 50, ""x"": -41.54855728149414, ""y"": 91.65789031982422, ""vx"": -0.0027047377079725266, ""vy"": -0.9614803791046143, ""r"": 2.5906050205230713}]",False,0,False,0
7,0.35000000000000003,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0006768227979220874,-1.2123299876804655e-15,0.75,0.0,PlanStatus.OK,46.908853985425,129.7622819984099,best_effort,24,46.908853985425,80.71684837341309,0.0,1.6,2.2,stay_keep_lane,False,50,1.5118390056225899,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.573609557012401,8.0,-42.26766034307383,97.08405051049543,-2.0265377263389546,8.0,17.746579995579975,1,"[{""id"": 50, ""x"": -41.54869842529297, ""y"": 91.6082534790039, ""vx"": -0.0023536914959549904, ""vy"": -0.8366255164146423, ""r"": 2.5906050205230713}]",False,0,False,0
8,0.4,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0005113507351111163,-1.2126240139922811e-15,0.75,0.0,PlanStatus.OK,46.89768544118715,128.54760200571036,best_effort,25,46.89768544118715,83.55998992919922,0.0,1.6,2.2,stay_keep_lane,False,50,1.457857355754623,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.573609557012401,8.0,-42.26766034307383,97.08405051049543,-2.0265377263389546,8.0,17.80595981043056,1,"[{""id"": 50, ""x"": -41.548866271972656, ""y"": 91.54887390136719, ""vx"": -0.0038350117392838, ""vy"": -1.3635343313217163, ""r"": 2.5906050205230713}]",False,0,False,0
9,0.45,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.00016936310361128327,-1.2132318660110545e-15,0.75,0.0,PlanStatus.OK,46.89068906245977,126.64924599812366,best_effort,24,46.89068906245977,80.98173141479492,0.0,1.6,2.2,stay_keep_lane,False,50,1.4211806181967062,5.2498109799267585,31,31,0.1,61,-41.4915771484375,111.94535827636719,-1.573609557012401,8.0,-42.26766034307383,97.08405051049543,-2.0265377263389546,8.0,17.846304221723226,1,"[{""id"": 50, ""x"": -41.54898452758789, ""y"": 91.50852966308594, ""vx"": -0.0023951195180416107, ""vy"": -0.851418673992157, ""r"": 2.5906050205230713}]",False,0,False,0
