step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-41.49152374267578,111.9453125,-1.57361008964462,0.0,-3.0418376151253312e-15,0.0,3,-41.4982767646042,109.54532200070739,-1.57361008964462,8.0,8.0,-1.8856145604753986e-15,0.75,0.0,0,0,0,,,
1,0.05,-41.49152374267578,111.9453125,-1.57361008964462,0.002035867536315563,-3.0418376151253312e-15,0.0,3,-41.4982767646042,109.54532200070739,-1.57361008964462,8.0,7.997964132463684,-1.8830588503152956e-15,0.75,0.0,0,0,0,2.5557101601030377e-18,0.0,0.0
2,0.1,-41.49152755737305,111.94532012939453,-1.57361008964462,0.00032053376283410547,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.999679466237166,-1.885211796308979e-15,0.75,0.0,0,0,0,-2.152945993683618e-18,0.0,0.0
3,0.15000000000000002,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0012051780207881788,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.998794821979212,-1.8841007008404183e-15,0.75,0.0,0,0,0,1.1110954685608285e-18,0.0,0.0
4,0.2,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0013877681232389294,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.998612231876761,-1.883871578428186e-15,0.75,0.0,0,0,0,2.2912241223228824e-19,0.0,0.0
5,0.25,-41.49152755737305,111.94532012939453,-1.57361008964462,0.001268043778571088,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.9987319562214285,-1.8840219267763237e-15,0.75,0.0,0,0,0,-1.503483481376383e-19,0.0,0.0
6,0.30000000000000004,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0010446359588146062,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.998955364041185,-1.884302294681865e-15,0.75,0.0,0,0,0,-2.803679055411734e-19,0.0,0.0
7,0.35000000000000003,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0008114243339668349,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.999188575666033,-1.884595156323378e-15,0.75,0.0,0,0,0,-2.9286164151317434e-19,0.0,0.0
8,0.4,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0006071663521612312,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.999392833647839,-1.8848515955481593e-15,0.75,0.0,0,0,0,-2.5643922478123943e-19,0.0,0.0
9,0.45,-41.49152755737305,111.94532012939453,-1.57361008964462,0.00019879348584716914,-3.0418376151253312e-15,0.0,3,-41.498280579301465,109.54532963010192,-1.57361008964462,8.0,7.999801206514153,-1.8853646857559586e-15,0.75,0.0,0,0,0,-5.130902077992924e-19,0.0,0.0
