step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,best_cost,timing_plan_total_ms,debug_reason,debug_expansions,debug_best_cost,debug_ms,debug_target_offset_m,debug_corridor_soft_half_width_m,debug_corridor_hard_half_width_m,debug_lane_selector_reason,debug_lane_selector_switched,debug_tracked_lead_id,debug_keep_cost,debug_pass_cost,debug_path_len_raw,debug_path_len_smoothed,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,min_obstacle_distance_m,num_obstacles,obstacles,tracked_lead_id,tracked_lead_x,tracked_lead_y,tracked_lead_vx,tracked_lead_vy,tracked_lead_speed_mps,tracked_lead_distance_m,tracked_lead_relative_longitudinal_m,tracked_lead_relative_lateral_m,event_collision,event_collision_count,event_lane_invasion,event_lane_invasion_count
0,0.0,-41.49152374267578,111.9453125,-1.57361008964462,0.0,-1.8856145604753986e-15,0.75,0.0,PlanStatus.OK,45.320167696891325,120.03072199877352,best_effort,38,45.320167696891325,82.87835121154785,0.0,1.6,2.2,stay_keep_lane,False,48,1.8182603444163445,5.24989128155876,31,31,0.1,61,-41.49152374267578,111.9453125,-1.57361008964462,8.0,-41.53373012972841,96.94537187942106,-1.57361008964462,8.0,17.409428191012267,1,"[{""id"": 48, ""x"": -41.547733306884766, ""y"": 91.94535827636719, ""vx"": 0.0, ""vy"": 0.0, ""r"": 2.5906050205230713}]",48,-41.547733306884766,91.94535827636719,0.0,0.0,0.0,20.00003321153534,20.000033211427386,6.571223694516043e-05,False,0,False,0
1,0.05,-41.49152374267578,111.9453125,-1.57361008964462,0.002035867536315563,-1.8830588503152956e-15,0.75,0.0,PlanStatus.OK,46.98024532754284,118.13787700157263,best_effort,33,46.98024532754284,82.15785026550293,0.0,1.6,2.2,stay_keep_lane,False,48,1.7754523234603934,5.24989128155876,31,31,0.1,61,-41.49152374267578,111.9453125,-1.57361008964462,8.0,-42.26761485292332,97.08400514749735,-2.1760625444511854,8.0,17.4565170140483,1,"[{""id"": 48, ""x"": -41.54787063598633, ""y"": 91.89826965332031, ""vx"": -0.0027701547369360924, ""vy"": -0.984538733959198, ""r"": 2.5906050205230713}]",48,-41.54787063598633,91.89826965332031,-0.0027701547369360924,-0.984538733959198,0.9845426310847322,20.04712203457137,20.04712203447893,6.0879722356951826e-05,False,0,False,0
2,0.1,-41.49152755737305,111.94532012939453,-1.57361008964462,0.00032053376283410547,-1.885211796308979e-15,0.75,0.0,PlanStatus.OK,46.966156478641025,121.46221500006504,best_effort,31,46.966156478641025,81.05707168579102,0.0,1.6,2.2,stay_keep_lane,False,48,1.731533395239099,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.1760625444511854,8.0,17.50483416475252,1,"[{""id"": 48, ""x"": -41.548011779785156, ""y"": 91.84996032714844, ""vx"": -0.002791688311845064, ""vy"": -0.9921344518661499, ""r"": 2.5906050205230713}]",48,-41.548011779785156,91.84996032714844,-0.002791688311845064,-0.9921344518661499,0.99213837951335,20.09543918527559,20.095439185187495,5.9503439618663334e-05,False,0,False,0
3,0.15000000000000002,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0012051780207881788,-1.8841007008404183e-15,0.75,0.0,PlanStatus.OK,46.95298579947804,119.7945849999087,best_effort,30,46.95298579947804,81.35104179382324,0.0,1.6,2.2,stay_keep_lane,False,48,1.6876850064200624,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.1760625444511854,8.0,17.55306739244855,1,"[{""id"": 48, ""x"": -41.54814910888672, ""y"": 91.80172729492188, ""vx"": -0.002722404897212982, ""vy"": -0.9675219655036926, ""r"": 2.5906050205230713}]",48,-41.54814910888672,91.80172729492188,-0.002722404897212982,-0.9675219655036926,0.9675257956357303,20.143672412971622,20.143672412888435,5.7891016816087604e-05,False,0,False,0
4,0.2,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0013877681232389294,-1.883871578428186e-15,0.75,0.0,PlanStatus.OK,46.94042028240227,120.92197099991608,best_effort,30,46.94042028240227,81.90536499023438,0.0,1.6,2.2,stay_keep_lane,False,48,1.6428170473373451,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.0265382589711867,8.0,17.602422147432954,1,"[{""id"": 48, ""x"": -41.54829025268555, ""y"": 91.75237274169922, ""vx"": -0.0023497927468270063, ""vy"": -0.8347180485725403, ""r"": 2.5906050205230713}]",48,-41.54829025268555,91.75237274169922,-0.0023497927468270063,-0.8347180485725403,0.8347213559857581,20.193027167956025,20.193027167879425,5.5619601798777285e-05,False,0,False,0
5,0.25,-41.49152755737305,111.94532012939453,-1.57361008964462,0.001268043778571088,-1.8840219267763237e-15,0.75,0.0,PlanStatus.OK,46.92646137361933,120.00583599728998,best_effort,30,46.92646137361933,81.99858665466309,0.0,1.6,2.2,stay_keep_lane,False,48,1.5888215356553417,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.0265382589711867,8.0,17.66181721029166,1,"[{""id"": 48, ""x"": -41.54845428466797, ""y"": 91.69297790527344, ""vx"": -0.0038066033739596605, ""vy"": -1.3531635999679565, ""r"": 2.5906050205230713}]",48,-41.54845428466797,91.69297790527344,-0.0038066033739596605,-1.3531635999679565,1.3531689541618543,20.25242223081473,20.25242223072963,5.8711032392799734e-05,False,0,False,0
6,0.30000000000000004,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0010446359588146062,-1.884302294681865e-15,0.75,0.0,PlanStatus.OK,46.91759382291943,119.5164639975701,best_effort,30,46.91759382291943,81.78424835205078,0.0,1.6,2.2,stay_keep_lane,False,48,1.5518188161646975,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.0265382589711867,8.0,17.702520201720755,1,"[{""id"": 48, ""x"": -41.5485725402832, ""y"": 91.65227508544922, ""vx"": -0.0024235250893980265, ""vy"": -0.8613958358764648, ""r"": 2.5906050205230713}]",48,-41.5485725402832,91.65227508544922,-0.0024235250893980265,-0.8613958358764648,0.8613992451466234,20.293125222243827,20.293125222169337,5.498381646405759e-05,False,0,False,0
7,0.35000000000000003,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0008114243339668349,-1.884595156323378e-15,0.75,0.0,PlanStatus.OK,46.90798010272495,120.91084499843419,best_effort,30,46.90798010272495,82.74364471435547,0.0,1.6,2.2,stay_keep_lane,False,48,1.508885960823029,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.0265382589711867,8.0,17.74974634259472,1,"[{""id"": 48, ""x"": -41.5487060546875, ""y"": 91.60504913330078, ""vx"": -0.0027991654351353645, ""vy"": -0.9949735999107361, ""r"": 2.5906050205230713}]",48,-41.5487060546875,91.60504913330078,-0.0027991654351353645,-0.9949735999107361,0.9949775373577349,20.34035136311779,20.340351363045173,5.435239505478112e-05,False,0,False,0
8,0.4,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0006071663521612312,-1.8848515955481593e-15,0.75,0.0,PlanStatus.OK,46.898993563966435,120.71302899857983,best_effort,30,46.898993563966435,82.53073692321777,0.0,1.6,2.2,stay_keep_lane,False,48,1.4656410048802906,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.0265382589711867,8.0,17.797315794143046,1,"[{""id"": 48, ""x"": -41.54883575439453, ""y"": 91.55747985839844, ""vx"": -0.002811131766065955, ""vy"": -0.9992482662200928, ""r"": 2.5906050205230713}]",48,-41.54883575439453,91.55747985839844,-0.002811131766065955,-0.9992482662200928,0.9992522204156804,20.387920814666117,20.387920814582184,5.8501683345854594e-05,False,0,False,0
9,0.45,-41.49152755737305,111.94532012939453,-1.57361008964462,0.00019879348584716914,-1.8853646857559586e-15,0.75,0.0,PlanStatus.OK,46.890669299695475,121.19517900282517,best_effort,30,46.890669299695475,83.12678337097168,0.0,1.6,2.2,stay_keep_lane,False,48,1.4223682960366815,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.0265382589711867,8.0,17.844915773872028,1,"[{""id"": 48, ""x"": -41.54896926879883, ""y"": 91.50988006591797, ""vx"": -0.002811494981870055, ""vy"": -0.9993773698806763, ""r"": 2.5906050205230713}]",48,-41.54896926879883,91.50988006591797,-0.002811494981870055,-0.9993773698806763,0.9993813245871923,20.4355207943951,20.435520794310154,5.892215858655653e-05,False,0,False,0
