step,t,steer,throttle,brake
0,0.0,7.767936718394795e-15,0.6000000238418579,0.0
1,0.05,9.662901040300223e-15,0.6000000238418579,0.0
2,0.1,9.676806780195297e-15,0.6000000238418579,0.0
3,0.15000000000000002,9.668342379953385e-15,0.6000000238418579,0.0
4,0.2,9.666800779989382e-15,0.6000000238418579,0.0
5,0.25,9.668224642373716e-15,0.6000000238418579,0.0
6,0.30000000000000004,9.670600569790765e-15,0.6000000238418579,0.0
7,0.35000000000000003,9.673023931052859e-15,0.6000000238418579,0.0
8,0.4,9.675144054519837e-15,0.6000000238418579,0.0
9,0.45,9.679348726070007e-15,0.6000000238418579,0.0
10,0.5,9.678605031142318e-15,0.6000000238418579,0.0
11,0.55,9.678707522128936e-15,0.6000000238418579,0.0
12,0.6000000000000001,9.679109862778881e-15,0.6000000238418579,0.0
13,0.65,1.4086354847999251e-15,0.6000000238418579,0.0
14,0.7000000000000001,2.2229027094951466e-16,0.6000000238418579,0.0
15,0.75,4.618740959457651e-16,0.6000000238418579,0.0
16,0.8,-5.321880902544457e-15,0.6000000238418579,0.0
17,0.8500000000000001,2.1302571574002274e-15,0.6000000238418579,0.0
18,0.9,3.2295274107426754e-15,0.6000000238418579,0.0
19,0.9500000000000001,-4.359368141942715e-15,0.6000000238418579,0.0
20,1.0,4.655830096998194e-15,0.6000000238418579,0.0
21,1.05,-4.028122355391765e-15,0.6000000238418579,0.0
22,1.1,2.842410695716121e-15,0.6000000238418579,0.0
23,1.1500000000000001,-8.84817869421453e-16,0.5960308313369751,0.0
24,1.2000000000000002,2.732935922448239e-15,0.5236432552337646,0.0
25,1.25,8.914850245679692e-16,0.4535626173019409,0.0
26,1.3,1.517521464290347e-15,0.39603191614151,0.0
27,1.35,-2.486723773472148e-15,0.3477305769920349,0.0
28,1.4000000000000001,-3.830049206390504e-15,0.3101852536201477,0.0
29,1.4500000000000002,-9.47746541111376e-16,0.2821793258190155,0.0
30,1.5,-6.890777138547264e-16,0.26360461115837097,0.0
31,1.55,-1.419872329757319e-15,0.24813251197338104,0.0
32,1.6,2.1219331528693226e-15,0.2387007176876068,0.0
33,1.6500000000000001,6.930962499147376e-16,0.23174111545085907,0.0
34,1.7000000000000002,1.1458401247824894e-15,0.22837968170642853,0.0
35,1.75,-2.0686075584002176e-15,0.22581696510314941,0.0
36,1.8,-3.657022821639553e-15,0.22547292709350586,0.0
37,1.85,-3.120894799982601e-15,0.22491462528705597,0.0
38,1.9000000000000001,-1.9153201647542845e-16,0.22581791877746582,0.0
39,1.9500000000000002,-2.5806764562233582e-15,0.22595827281475067,0.0
40,2.0,-1.9165345982424104e-16,0.22719554603099823,0.0
41,2.0500000000000003,-2.916206058965488e-17,0.2264942079782486,0.0
